D:\datasetttt\IMG\center_2020_04_14_13_34_36_219.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_219.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_219.jpg,0,0,0,16.6497
D:\datasetttt\IMG\center_2020_04_14_13_34_36_285.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_285.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_285.jpg,-0.05,0.1592493,0,16.24212
D:\datasetttt\IMG\center_2020_04_14_13_34_36_354.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_354.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_354.jpg,-0.25,0.395694,0,16.38188
D:\datasetttt\IMG\center_2020_04_14_13_34_36_420.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_420.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_420.jpg,0,0.5756131,0,16.91172
D:\datasetttt\IMG\center_2020_04_14_13_34_36_491.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_491.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_491.jpg,0,0.4962262,0,17.37049
D:\datasetttt\IMG\center_2020_04_14_13_34_36_560.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_560.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_560.jpg,0,0.3216437,0,17.282
D:\datasetttt\IMG\center_2020_04_14_13_34_36_629.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_629.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_629.jpg,0,0.08161335,0,17.2753
D:\datasetttt\IMG\center_2020_04_14_13_34_36_696.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_696.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_696.jpg,0,0,0,17.60389
D:\datasetttt\IMG\center_2020_04_14_13_34_36_768.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_768.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_768.jpg,-0.05,0.088659,0,17.49325
D:\datasetttt\IMG\center_2020_04_14_13_34_36_834.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_834.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_834.jpg,-0.2,0.2742543,0,17.03795
D:\datasetttt\IMG\center_2020_04_14_13_34_36_902.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_902.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_902.jpg,-0.35,0.4602699,0,17.5529
D:\datasetttt\IMG\center_2020_04_14_13_34_36_974.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_36_974.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_36_974.jpg,0,0.6263193,0,17.86861
D:\datasetttt\IMG\center_2020_04_14_13_34_37_044.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_37_044.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_37_044.jpg,0,0.4460686,0,17.88911
D:\datasetttt\IMG\center_2020_04_14_13_34_37_114.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_37_114.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_37_114.jpg,0,0.2075665,0,17.98603
D:\datasetttt\IMG\center_2020_04_14_13_34_37_182.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_37_182.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_37_182.jpg,0,0.03273218,0,18.36808
D:\datasetttt\IMG\center_2020_04_14_13_34_37_252.jpg,D:\datasetttt\IMG\left_2020_04_14_13_34_37_252.jpg,D:\datasetttt\IMG\right_2020_04_14_13_34_37_252.jpg,-0.1,0.1928217,0,18.29283
